PostalCode,Town,Region,ShortCode,Area,Latitude,Longitude
1906,Oxford,Alabama,AL,Calhoun,33.5815,-85.8328
1907,Anniston,Alabama,AL,Calhoun,33.7622,-85.8378
1908,Anniston,Alabama,AL,Calhoun,33.7358,-85.7933
1910,Anniston,Alabama,AL,Calhoun,33.7191,-85.8389
1913,Anniston,Alabama,AL,Calhoun,33.6803,-85.7137
1915,Alexandria,Alabama,AL,Calhoun,33.7808,-85.8924
1921,Bynum,Alabama,AL,Calhoun,33.7622,-85.8378
1922,Choccolocco,Alabama,AL,Calhoun,33.6573,-85.6991
1923,De Armanville,Alabama,AL,Calhoun,33.7622,-85.8378
1929,Eastaboga,Alabama,AL,Calhoun,33.6031,-85.9608
1930,Jacksonville,Alabama,AL,Calhoun,33.831,-85.7752
1931,Ohatchee,Alabama,AL,Calhoun,33.7788,-86.0254
1936,Piedmont,Alabama,AL,Calhoun,33.8389,-85.646
1937,Weaver,Alabama,AL,Calhoun,33.7563,-85.8107
1938,Wellington,Alabama,AL,Calhoun,33.8226,-85.8927
1940,Cusseta,Alabama,AL,Chambers,32.7831,-85.2756
1944,Valley,Alabama,AL,Chambers,32.8113,-85.1749
1945,Five Points,Alabama,AL,Chambers,33.0424,-85.3243
1949,Lafayette,Alabama,AL,Chambers,32.9252,-85.4426
1950,Lanett,Alabama,AL,Chambers,32.8616,-85.2161
1951,Cedar Bluff,Alabama,AL,Cherokee,34.2417,-85.6026
1952,Centre,Alabama,AL,Cherokee,34.1116,-85.6092
1960,Gaylesville,Alabama,AL,Cherokee,34.3573,-85.5589
1961,Leesburg,Alabama,AL,Cherokee,34.1911,-85.7705
1965,Spring Garden,Alabama,AL,Cherokee,33.9778,-85.5521
1966,Clanton,Alabama,AL,Chilton,32.8355,-86.6425
1969,Clanton,Alabama,AL,Chilton,32.9229,-86.545
1970,Jemison,Alabama,AL,Chilton,32.9805,-86.7181
1971,Thorsby,Alabama,AL,Chilton,32.9157,-86.7158
1982,Verbena,Alabama,AL,Chilton,32.7499,-86.5114
1983,Maplesville,Alabama,AL,Chilton,32.8045,-86.8717
1984,Stanton,Alabama,AL,Chilton,32.7332,-86.8963
1985,Butler,Alabama,AL,Choctaw,32.0829,-88.2064
2018,Gilbertown,Alabama,AL,Choctaw,31.8666,-88.3265
2019,Jachin,Alabama,AL,Choctaw,32.2299,-88.1684
2020,Lisman,Alabama,AL,Choctaw,32.2177,-88.3234
2021,Melvin,Alabama,AL,Choctaw,31.9304,-88.4589
